#######################################################################################################################################################
# # # # # # # #   #   #     #         #   #   # # #       #         # #   #   # # #   # # # #       # #   # #   # # # #       #   # #     # # #   # # #
# # # # ### # # ################# ##### ### ### # # ##### ######### # ##### # # # # # # # # ####### # # # ### # # # # # ######### # ### ### # # ### # #
#   # #     # #   # #           # #   #     #   # # #     #       # # #   # # #   # #     # #       #   #     # # # # # #   #     # #   # #   #   # # #
# ### ####### ### # # ####### # # # # ####### ### # ####### ##### # # # # # # ##### ### ### ##### # ########### # # # # # # # ##### # ### ##### # # # #
#   #       #   #   # #     # #   # #       #   # # #       #   #     # # # #   #   #   # #   #   # #             #   #   # # #   # # #   #   # # #   #
### ##### # ### # # # # ### ####### ####### ### # # # ####### ##### ##### # ### ### # ### ### ####### ######### ########### # ### # # # ### # ### #####
# #     # # #   # # # #   # #     # #     #   #   # #   #   #           # #   #   # #     # #   #   # #   #     #     #     # #   # #   # # # #   #   #
# ### # # # # # # ### ##### # ##### # ####### ##### ### # # ######### # # # ##### ######### ### # # # # # # ##### ### # ##### # ### ##### # ### ### # #
#     #   # # # #     # #     #     # #         # #       # #   #   # # # #   # # #   #   #     # #   # #   #   # #   #     # # #     #   # #   #   # #
######### # # # ####### # ##### # ### # ####### # ##### ### # # # # # # # # # # # # # # ### ##### ##### ##### # # # ####### # # # ##### # # # ####### #
#         #   #     #   #     # # #   # # #       # #   #   # # # # # #   # #   # # #       #         #     # # # #       # # # #       # #   #     # #
# ################# # ####### ### # ### # # # ##### # ### ##### ### # ##### ### # ##### ######### ### ##### # # # ####### # # # ######### # # # ### # #
#       #     #   # # #   # #     # #   # # #         # #     # #   #   #   # # #   #   #         #   #   #   #   #   #   #   # #           # # #   # #
####### # ### ### # # # # # ####### # ### # ########### ### # # # ##### ##### # # # # ### ######### ### ########### # # ####### # ####### ##### # ### #
#     #   #   #   #   # # #         #   # #   #     # # # # #     #             # # #   # #   #   #   #       #     # # #   # # #       # #   # #   # #
# ### ##### ### # ### # # ##### # ### ### ##### ### # # # # ### ####### ######### # ### # ### # ##### ### ### ### # # # ### # # # ##### # # # # ### # #
#   #       #   #   # # #     # #   #   # # #   #   # #     # # #       #   #   # # #   #   # #     # #   #   #   # # #   # # #   #   # # # # # # # # #
### # ####### ####### # ##### # ### ### # # # ### ### ### ### # # ####### # # # ### # ##### # ##### # # ##### # ### ##### # # ##### # # # # # # # # # #
# # #   #   #         # #     # #   #   #   # #   #       # #   # #   #   # # #     # #     #   #   # # #     # #           #     # # # # # #   #   # #
# # ### ### ### ######### ##### # ####### # # ####### ### # ##### # # # ### # ####### # ####### # ### ### ##### # ####### ### ### # ### # # ######### #
#     #       #           #     #         #           #   #         #   #   #         #         #         #     #       #     #   #     #             F
#######################################################################################################################################################
